testcase	rpm	encoder_resolution	kp	ki	traj_type	v_max	estimator_name	p_err_max	p_err_max_pct	p_err_mean	p_err_mean_pct	p_err_rms	p_err_rms_pct	v_err_max	v_err_max_pct	v_err_mean	v_err_mean_pct	v_err_rms	v_err_rms_pct	a_err_max	a_err_max_pct	a_err_mean	a_err_mean_pct	a_err_rms	a_err_rms_pct
25	50	360	10	10	VelocityStep	300	PITrackingLoop(kp=10,ki=10)	25.2477166114118	40.7718937874718	19.5971877863583	14.3056269271019	20.0259775397682	17.2063502955353	26.2710818370736	8.75702727902452	-14.8734407187537	-4.95781357291789	17.4457591697361	5.81525305657869	7493.74522321938	Inf	-46.5995980410742	NaN	4596.67602821754	Inf
1251	2	360	10	10.9749876549306	VelocityStep	12	PITrackingLoop(kp=10,ki=11)	1.54283793360161	57.2821463746648	1.25744785672727	22.221286256773	1.26928578495561	25.8802121703755	6.45958403238505	53.8298669365421	-0.441662319374568	-3.6805193281214	2.99029609295126	24.9191341079271	9941.16126048163	Inf	-8.99781026680181	NaN	1116.14527897405	Inf
1252	4	360	10	10.9749876549306	VelocityStep	24	PITrackingLoop(kp=10,ki=11)	2.48938494868467	49.4203031010164	1.9898109964396	17.8938844925582	2.02008977141919	21.2153243689068	7.04659960527747	29.3608316886561	-1.18221297935884	-4.92588741399518	3.2649479395576	13.6039497481567	9849.14824177706	Inf	-14.9734902411286	NaN	1568.87475669353	Inf
1253	6	360	10	10.9749876549306	VelocityStep	36	PITrackingLoop(kp=10,ki=11)	3.460592992831	46.1657109590844	2.72544256546328	16.4597203993005	2.77548572480253	19.6571642690318	7.86969756531855	21.8602710147737	-1.83875045395891	-5.10764014988585	3.6329900111921	10.0916389199781	9739.07967023481	Inf	-9.02798796997383	NaN	1877.95313483158	Inf
1254	8	360	10	10.9749876549306	VelocityStep	48	PITrackingLoop(kp=10,ki=11)	4.43538879218831	44.5148299506122	3.45713135356582	15.7287521712873	3.52763218553391	18.8692467869878	8.71425219443377	18.154692071737	-2.48262366390829	-5.17213263314226	4.13509039930153	8.61477166521153	9643.67429006556	Inf	-15.8785691749046	NaN	2163.76038317379	Inf
1255	10	360	10	10.9749876549306	VelocityStep	60	PITrackingLoop(kp=10,ki=11)	5.40711479745713	43.6592643993999	4.18431459183039	15.2739051043249	4.27554728694074	18.3766711944896	9.50758263197032	15.8459710532839	-3.15998753053406	-5.26664588422343	4.65059420850568	7.75099034750946	9532.15862140469	Inf	-9.80328931466351	NaN	2385.864813943	Inf
1256	12	360	10	10.9749876549306	VelocityStep	72	PITrackingLoop(kp=10,ki=11)	6.39337447748737	42.9540562258058	4.92535496771292	15.0082397617226	5.03683772952763	18.0892357160359	10.4871259130619	14.5654526570304	-3.77772177924211	-5.24683580450294	5.25830696142272	7.30320411308712	9437.40973963674	Inf	-16.8336321523543	NaN	2605.20904551882	Inf
1257	14	360	10	10.9749876549306	VelocityStep	84	PITrackingLoop(kp=10,ki=11)	7.37509509155532	42.5751840800724	5.66142698290349	14.8073105973325	5.79360155405861	17.8720107346818	11.4009922798608	13.5726098569771	-4.43753652558661	-5.2827815780793	5.87131162850231	6.98965670059798	9341.484603307	Inf	-23.5436155564972	NaN	2801.92906013119	Inf
1258	16	360	10	10.9749876549306	VelocityStep	96	PITrackingLoop(kp=10,ki=11)	8.3507662973504	42.2020749427269	6.39162058548509	14.645672959561	6.54501779055481	17.698651474663	12.2207291471181	12.7299261949147	-5.09328082135679	-5.30550085557999	6.51761352826112	6.78918075860533	9230.73139177724	Inf	-17.6012744363986	NaN	2962.62917379928	Inf
1259	18	360	10	10.9749876549306	VelocityStep	108	PITrackingLoop(kp=10,ki=11)	9.32966492436362	41.9668528121303	7.12728873847128	14.5288974148183	7.30148294455646	17.5721388382272	13.0919765526044	12.1222005116708	-5.74970539077104	-5.32380128775096	7.17774918578021	6.64606406090761	9131.69644105629	Inf	-24.341118634585	NaN	3127.37125863206	Inf
1260	20	360	10	10.9749876549306	VelocityStep	120	PITrackingLoop(kp=10,ki=11)	10.2966872962545	41.6787696462795	7.84330996718768	14.4029097639072	8.03885464464287	17.4358344600767	13.8878995778733	11.5732496482277	-6.39651816815428	-5.33043180679523	7.84031651799726	6.53359709833105	9025.37633241001	Inf	-18.5346973095693	NaN	3263.73294648255	Inf
1261	22	360	10	10.9749876549306	VelocityStep	132	PITrackingLoop(kp=10,ki=11)	11.2908247385357	41.5553056461952	8.59456301469731	14.3532504262688	8.81052830056425	17.3827300140027	14.901394923289	11.2889355479462	-7.03586960800332	-5.33020424848737	8.53313278512054	6.46449453418223	8926.18471388234	Inf	-25.3761566344287	NaN	3405.12285437152	Inf
